Question,Group
A30,1
A15,1
A16,1
A17,1
A18,1
A19,1
ST35,1
A1,1
A2,1
A3,1
A4,1
A5,1
A6,1
A20,1
A21,1
A22,1
A8,1
A9,1
A11,1
A12,1
A13,1
A14,1
A29,1
A23,1
A24,1
A25,1
A26,1
A27,1
A28,1
VE22,2
VE23,2
VE12,2
VE11,2
ST31,2
VE26,2
VE25,2
VE24,2
ST10,2
ST11,2
VE14,2
VE13,2
ST15,2
ST14,2
ST13,2
ST12,2
VE20,2
VE21,2
VE19,2
VE17,2
K14,3
K13,3
K7,3
K8,3
K12,3
K11,3
K16,3
K15,3
K17,3
K18,3
K19,3
K20,3
K10,3
K9,3
E2,4
E3,4
E5,4
E6,4
E7,4
E8,4
E17,4
E9,4
E18,4
E24,5
ST30,5
E23,5
E22,5
ST4,6
ST2,6
ST1,6
ST3,6
E21,7
E20,7
E19,7
VE18,8
VE16,8
ST19,8
VE15,8
VE6,8
ST22,9
ST27,9
ST26,9
ST24,9
ST25,9
ST23,9
K3,10
K1,10
K4,10
K5,10
K2,10
E10,11
E11,11
E12,11
E13,11
E14,11
E15,11
E16,11
VE5,12
VE4,12
VE3,12
VE2,12
VE1,12
ST21,13
A10,13
ST29,14
ST28,14
K6,15
ST8,16
ST5,16
ST6,16
ST20,17
ST18,17
ST17,17
ST16,17
VE9,18
VE7,18
VE10,18
ST9,19
VE27,19
ST7,19
E1,20
ST32,21
ST34,21
ST33,21
VE8,22
E4,23
A7,26
