Question,Factor Group
M2,1
M3,1
M4,1
M5,1
I2,1
I1,1
M6,1
M7,1
M8,1
S8,1
S7,1
S6,1
M9,1
S3,1
S2,1
M1,1
FAS1,2
FAS10,2
FAS2,2
FAS3,2
FAS4,2
FAS5,2
FAS6,2
FAS7,2
FAS8,2
FAS12,2
FAS11,2
FAS9,2
STS5,3
STS11,3
STS1,3
STS10,3
STS9,3
STS2,3
STS3,3
STS8,3
STS6,3
STS4,3
STS7,3
SDS21,4
SDS4,4
SDS5,4
SDS13,4
SDS2,4
SDS14,4
SDS6,4
SDS9,4
SDS1,5
SDS20,6
SDS19,6
SDS15,6
SDS7,6
SDS18,6
SDS16,6
SSRL12,7
SDS11,7
SDS17,8
SSRL3,9
SSRL1,9
IPS9,9
IPS4,9
IPS8,9
IPS7,9
IPS3,10
IPS2,11
IPS1,11
IPS5,11
S5,12
S1,12
S4,12
SSRL14,13
SSRL17,13
I4,14
I3,14
I5,14
SSRL15,15
SSRL16,15
SDS12,16
LOC2,17
LOC1,17
SSRL8,18
SDS10,19
SSRL2,19
SDS8,19
FAS14,20
FAS15,20
SSRL6,21
SSRL5,21
SSRL7,21
IPS6,22
SSRL10,22
SDS3,23
FAS13,23
SSRL13,24
SSRL11,24
SSRL9,25
QOA1,26
QOA2,26
QOA3,26
SSRL4,27
LOC3,28
LOC4,28
LOC5,28
