,Mean Distance
1,0.11456880860008688
2,0.09877456271664857
3,0.1199272918698312
4,0.1352021357255458
5,0.0
6,0.1168363671258842
7,0.14318763164396955
8,0.0
9,0.11548983409059911
10,0.0
11,0.1401368867534233
12,0.11469659968652747
13,0.11769791283532481
14,0.10430519843254168
15,0.11922511461131519
16,0.0
17,0.09518684757451856
18,0.0
19,0.150884863662748
20,0.06788213012805251
21,0.1228884540281712
22,0.16287043197632964
23,0.12126053510769835
24,0.11654654704767736
25,0.0
26,0.12383315911467713
27,0.0
28,0.11404204522290554
