Factor,Eigenvalue,Variance Explained (%)
1,15.858053636807991,15.396168579425238
2,9.382695908279217,9.109413503183706
3,5.9669378002955105,5.793143495432536
4,4.718429751069107,4.580999758319522
5,2.965671129316928,2.8792923585601247
6,2.6847274559358243,2.6065315106173057
7,2.3665135657464758,2.2975859861616272
8,2.267237707108882,2.2012016573872644
9,2.075429616607594,2.0149802102986354
10,1.9815870900905272,1.9238709612529394
11,1.8875362198602088,1.8325594367574847
12,1.7569116963154936,1.7057395109859164
13,1.6498900597996908,1.601835009514263
14,1.5910986668171334,1.5447559872011007
15,1.528527547959383,1.484007328115906
16,1.488146207643477,1.444802143343182
17,1.4478343470337824,1.4056644145959054
18,1.3834696704120037,1.3431744372932077
19,1.348597090415525,1.3093175635102186
20,1.3022944507419276,1.2643635444096386
21,1.2665760046877523,1.2296854414444198
22,1.2458373075241014,1.209550784003982
23,1.187301833340356,1.152720226544035
24,1.1596059381592194,1.1258310079215725
25,1.1385442189699775,1.1053827368640559
26,1.1046840902282904,1.0725088254643598
27,1.0592381183525872,1.028386522672415
28,1.0357538098070136,1.0055862231136055
